Name = FX 60-100
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.543	0.01187	-0.112	0.639	0.380	0.977	0.993	-45.759	0.236	0.043
-179.0	-0.662	0.01306	-0.114	0.525	0.415	0.991	1.000	-50.666	0.237	0.078
-178.0	-0.780	0.00957	-0.115	0.457	0.431	1.000	1.000	-81.504	0.239	0.102
-177.0	-0.898	0.00694	-0.117	0.084	0.486	1.000	1.000	-129.453	0.239	0.120
-176.0	-1.010	0.00551	-0.118	0.049	0.543	1.000	1.000	-183.221	0.239	0.133
-175.0	-1.113	0.00447	-0.119	0.045	0.564	1.000	1.000	-248.759	0.237	0.143
-174.0	-1.202	0.00390	-0.120	0.026	1.000	1.000	1.000	-308.566	0.234	0.150
-173.0	-1.270	0.00416	-0.121	0.016	1.000	1.000	1.000	-305.108	0.253	0.154
-172.0	-1.310	0.03638	-0.120	0.014	1.000	0.889	1.000	-36.027	0.317	0.159
-171.0	-1.320	0.03517	-0.118	0.001	1.000	0.783	1.000	-37.526	-6.578	0.161
-170.0	-1.297	0.02233	-0.031	0.000	1.000	0.001	1.000	-58.097	-0.947	0.226
-169.0	-1.246	0.03292	-0.029	0.000	1.000	0.001	1.000	-37.844	0.240	0.226
-168.0	-1.172	0.04577	-0.029	0.000	1.000	0.001	1.000	-25.599	0.255	0.225
-167.0	-1.082	0.06531	-0.030	0.000	1.000	0.001	1.000	-16.572	0.258	0.222
-166.0	-0.986	0.08160	-0.031	0.000	1.000	0.001	1.000	-12.079	0.257	0.219
-165.0	-0.888	0.11456	-0.032	0.000	1.000	0.001	1.000	-7.752	0.260	0.215
-164.0	-0.794	0.14687	-0.033	0.000	1.000	0.001	1.000	-5.408	0.262	0.209
-163.0	-0.707	0.18472	-0.034	0.000	1.000	0.001	1.000	-3.827	0.257	0.202
-162.0	-0.628	0.22871	-0.034	0.000	1.000	0.001	1.000	-2.745	0.267	0.196
-161.0	-0.557	0.16841	-0.036	0.000	1.000	0.001	1.000	-3.308	0.274	0.185
-160.0	-0.495	0.19032	-0.037	0.001	1.000	0.001	1.000	-2.599	0.279	0.175
-159.0	-0.440	0.23286	-0.040	0.001	1.000	0.002	1.000	-1.889	0.277	0.160
-158.0	-0.392	0.26580	-0.040	0.001	1.000	0.002	1.000	-1.475	0.263	0.148
-157.0	-0.350	0.30369	-0.041	0.001	1.000	0.002	1.000	-1.154	0.287	0.134
-156.0	-0.314	0.34930	-0.043	0.001	1.000	0.002	1.000	-0.899	0.291	0.114
-155.0	-0.282	0.39530	-0.044	0.001	1.000	0.003	1.000	-0.714	0.287	0.096
-154.0	-0.255	0.43691	-0.045	0.001	1.000	0.003	1.000	-0.583	0.292	0.073
-153.0	-0.231	0.49943	-0.046	0.001	1.000	0.003	1.000	-0.462	0.295	0.051
-152.0	-0.209	0.55594	-0.047	0.001	1.000	0.003	1.000	-0.376	0.301	0.025
-151.0	-0.191	0.63018	-0.048	0.001	1.000	0.003	1.000	-0.302	0.313	-0.001
-150.0	-0.174	0.71871	-0.049	0.001	1.000	0.004	1.000	-0.242	0.311	-0.033
-149.0	-0.160	0.77326	-0.050	0.001	1.000	0.004	1.000	-0.206	0.286	-0.061
-148.0	-0.147	0.85341	-0.050	0.001	1.000	0.004	1.000	-0.172	0.338	-0.093
-147.0	-0.135	0.66325	-0.052	0.001	1.000	0.004	1.000	-0.204	0.335	-0.133
-146.0	-0.125	0.71462	-0.052	0.001	1.000	0.004	1.000	-0.175	0.367	-0.168
-145.0	-0.116	0.78733	-0.054	0.001	1.000	0.005	1.000	-0.147	0.362	-0.217
-144.0	-0.108	0.82419	-0.054	0.001	1.000	0.005	1.000	-0.130	0.348	-0.253
-143.0	-0.100	0.90841	-0.056	0.001	1.000	0.006	1.000	-0.110	0.380	-0.306
