Name = NACA 4412
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.519	0.00949	-0.100	0.482	0.902	0.987	1.000	-54.682	0.238	0.057
-179.0	-0.639	0.00927	-0.101	0.427	0.940	0.984	1.000	-68.948	0.238	0.091
-178.0	-0.759	0.01201	-0.103	0.407	0.960	0.977	1.000	-63.202	0.238	0.114
-177.0	-0.879	0.01285	-0.104	0.389	0.972	0.968	1.000	-68.400	0.239	0.131
-176.0	-0.996	0.01367	-0.106	0.373	0.982	0.957	1.000	-72.876	0.239	0.144
-175.0	-1.111	0.01456	-0.107	0.345	1.000	0.945	1.000	-76.337	0.238	0.154
-174.0	-1.222	0.01604	-0.108	0.309	1.000	0.931	1.000	-76.188	0.238	0.161
-173.0	-1.327	0.01803	-0.109	0.255	1.000	0.915	1.000	-73.609	0.240	0.168
-172.0	-1.423	0.02394	-0.110	0.027	1.000	0.882	1.000	-59.461	0.242	0.173
-171.0	-1.509	0.02671	-0.111	0.013	1.000	0.846	1.000	-56.503	0.243	0.176
-170.0	-1.583	0.02955	-0.111	0.010	1.000	0.798	1.000	-53.566	0.261	0.180
-169.0	-1.643	0.03256	-0.110	0.007	1.000	0.684	1.000	-50.457	0.787	0.183
-168.0	-1.684	0.02550	-0.057	0.006	1.000	0.024	1.000	-66.034	1.254	0.216
-167.0	-1.699	0.03046	-0.053	0.005	1.000	0.015	1.000	-55.784	0.869	0.219
-166.0	-1.694	0.03732	-0.051	0.004	1.000	0.012	1.000	-45.401	0.135	0.220
-165.0	-1.670	0.04571	-0.049	0.003	1.000	0.010	1.000	-36.539	0.209	0.220
-164.0	-1.629	0.05497	-0.048	0.003	1.000	0.008	1.000	-29.638	0.224	0.221
-163.0	-1.574	0.06542	-0.047	0.003	1.000	0.006	1.000	-24.055	0.241	0.220
-162.0	-1.507	0.07770	-0.047	0.002	1.000	0.006	1.000	-19.395	0.248	0.219
-161.0	-1.432	0.09356	-0.047	0.002	1.000	0.005	1.000	-15.310	0.251	0.218
-160.0	-1.353	0.11038	-0.047	0.002	1.000	0.005	1.000	-12.260	0.253	0.215
-159.0	-1.272	0.12943	-0.047	0.002	1.000	0.005	1.000	-9.827	0.250	0.213
-158.0	-1.191	0.14820	-0.047	0.001	1.000	0.005	1.000	-8.035	0.250	0.211
-157.0	-1.111	0.17695	-0.047	0.001	1.000	0.004	1.000	-6.280	0.251	0.208
-156.0	-1.035	0.19778	-0.047	0.001	1.000	0.004	1.000	-5.233	0.250	0.205
-155.0	-0.962	0.23032	-0.047	0.001	1.000	0.004	1.000	-4.179	0.249	0.201
-154.0	-0.894	0.26483	-0.047	0.001	1.000	0.004	1.000	-3.377	0.248	0.198
-153.0	-0.831	0.30056	-0.047	0.001	1.000	0.003	1.000	-2.764	0.250	0.194
-152.0	-0.772	0.33697	-0.047	0.001	1.000	0.003	1.000	-2.290	0.243	0.189
-151.0	-0.717	0.36740	-0.046	0.001	1.000	0.003	1.000	-1.953	0.245	0.186
-150.0	-0.667	0.42454	-0.046	0.001	1.000	0.003	1.000	-1.572	0.246	0.180
-149.0	-0.622	0.47025	-0.046	0.001	1.000	0.002	1.000	-1.322	0.246	0.177
-148.0	-0.580	0.52190	-0.046	0.001	1.000	0.002	1.000	-1.110	0.249	0.171
-147.0	-0.541	0.58680	-0.045	0.001	1.000	0.002	1.000	-0.922	0.262	0.166
-146.0	-0.506	0.61821	-0.047	0.001	1.000	0.002	1.000	-0.818	0.284	0.157
-145.0	-0.474	0.65474	-0.048	0.001	1.000	0.003	1.000	-0.723	0.285	0.149
-144.0	-0.444	0.72645	-0.049	0.001	1.000	0.003	1.000	-0.611	0.287	0.140
-143.0	-0.417	0.76688	-0.050	0.001	1.000	0.003	1.000	-0.544	0.288	0.131
-142.0	-0.391	0.84425	-0.051	0.001	1.000	0.003	1.000	-0.463	0.289	0.119
-141.0	-0.366	0.92707	-0.052	0.001	1.000	0.003	1.000	-0.395	0.290	0.108
-140.0	-0.343	0.97867	-0.053	0.001	1.000	0.004	1.000	-0.351	0.301	0.096
-139.0	-0.323	1.07673	-0.054	0.001	1.000	0.004	1.000	-0.300	0.286	0.083
-138.0	-0.304	1.11498	-0.054	0.001	1.000	0.004	1.000	-0.273	0.288	0.071
-137.0	-0.287	1.18644	-0.055	0.001	1.000	0.004	1.000	-0.242	0.311	0.057
-136.0	-0.271	1.28715	-0.056	0.001	1.000	0.004	1.000	-0.211	0.303	0.042
-135.0	-0.257	1.34420	-0.057	0.001	1.000	0.004	1.000	-0.191	0.139	0.028
-134.0	-0.221	1.54393	-0.051	0.001	0.531	0.005	0.532	-0.143	0.129	0.020
